Condition	Sex	Age	Location	Measure	Unit	Forecast Scenario	Year	Value	Lower	Upper	Data Suite	DA
Drug use disorders	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2045	947.256981739726	839.677806529488	1074.96722785662	GBD	Other
Depressive disorders	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2045	4757.6627626671	4204.96265719547	5398.82556295835	GBD	Other
Bipolar disorder	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2045	912.998554481216	727.912434155825	1156.95719674143	GBD	Other
Anxiety disorders	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2045	6579.77280760034	5477.61604586877	7885.90632769656	GBD	Other
Eating disorders	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2045	300.787912517532	178.250952749095	467.070116956284	GBD	Other
Autism spectrum disorders	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2045	800.311812973966	663.679164853475	950.772445063109	GBD	Other
Attention-deficit/hyperactivity disorder	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2045	900.703997506319	654.965780694716	1211.89228873393	GBD	Other
Conduct disorder	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2045	378.716440690608	271.870697305554	489.729910001996	GBD	Other
Idiopathic developmental intellectual disability	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2045	269.148855815478	69.4701637841598	487.977566918551	GBD	Other
Other mental disorders	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2045	2114.13490327769	1716.99907590995	2629.07001057919	GBD	Other
Diabetes mellitus	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2045	9550.19711166484	8683.35754382259	10437.6582892104	GBD	Metabolism
Acute glomerulonephritis	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2045	0.0916959449703829	0.0488687791823973	0.14830753095363	GBD	Renal
Chronic kidney disease	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2045	12672.1491492891	11289.6126133371	14316.2254787749	GBD	Renal
Urinary diseases and male infertility	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2045	2526.0728569423	1956.06970440177	3152.54357104499	GBD	Fertility
Gynecological diseases	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2045	19358.3880458455	16923.1448623596	21744.6349429027	GBD	Fertility
Hemoglobinopathies and hemolytic anemias	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2045	14681.7388201634	13505.5023585409	15920.1528861841	GBD	Other Onco Hem
Endocrine, metabolic, blood, and immune disorders	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2045	5386.95422655714	4333.5942811092	6503.55202851684	GBD	Metabolism
Rheumatoid arthritis	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2045	451.087511627927	394.085743814719	519.067965305574	GBD	Immunology
Osteoarthritis	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2045	15761.8040463963	14260.7112205386	17328.7115922215	GBD	Other
Low back pain	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2045	13748.9622901083	12148.502609079	15284.4197641796	GBD	Other
Neck pain	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2045	3074.67388617824	2449.52697315899	3806.75725297425	GBD	Other
Gout	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2045	1363.68556902952	1072.05271495421	1748.94510878764	GBD	Other
Other musculoskeletal disorders	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2045	5366.24493027297	4225.73415661967	6704.2492706683	GBD	Other
Congenital birth defects	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2045	692.234688995294	636.687361844572	748.531921647588	GBD	Other
Dermatitis	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2045	5124.26177472716	4805.26701156718	5481.95585746253	GBD	Immunology
Psoriasis	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2045	1462.44334702881	1403.35450050248	1521.96658493401	GBD	Immunology
Scabies	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2045	9.68034583053028	8.58149898410391	10.8875565996318	GBD	Infectious Diseases
Fungal skin diseases	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2045	13207.1417929864	11891.0712389449	14773.1150372593	GBD	Infectious Diseases
Viral skin diseases	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2045	2287.94765406658	2212.04926461894	2368.1607369851	GBD	Infectious Diseases
Acne vulgaris	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2045	3488.66030405328	3134.14108740194	3889.96609904689	GBD	Other
Alopecia areata	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2045	252.552739897303	244.303823299457	260.39447630348	GBD	Immunology
Pruritus	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2045	1036.55936683838	922.400628703298	1158.44013307978	GBD	Other
Urticaria	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2045	766.164089990696	684.987841998759	856.586165133989	GBD	Immunology
Decubitus ulcer	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2045	4.32283164397834	3.45406718363337	5.35705715136196	GBD	Other
Other skin and subcutaneous diseases	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2045	10978.6904355896	9765.75640887397	12190.6391974044	GBD	Immunology
Age-related and other hearing loss	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2045	24304.9331121896	22967.9148819708	25692.5862262396	GBD	Other
Other sense organ diseases	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2045	4123.86234696456	3270.69640599688	5204.59618528591	GBD	Other
Oral disorders	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2045	57321.6097979216	52520.3094169528	61825.9183969529	GBD	Other
Road injuries	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2045	2690.72015224468	2313.65856165644	3106.52376479798	GBD	Other
Other transport injuries	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2045	445.909494535294	367.677685499353	545.721348295877	GBD	Other
Falls	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2045	25426.4657589283	22609.6091769289	28783.4344959311	GBD	Other
Drowning	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2045	19.4157437778338	16.0766785653028	22.6052182784388	GBD	Other
Fire, heat, and hot substances	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2045	2907.98036450241	2381.34013588629	3561.05647564512	GBD	Other
Poisonings	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2045	109.863865338964	89.4561512181338	132.283733981125	GBD	Other
Exposure to mechanical forces	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2045	5983.34608555812	4990.02971669696	7096.46322199011	GBD	Other
Adverse effects of medical treatment	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2045	17.8617967919752	12.9593450053602	23.7523884739792	GBD	Other
Animal contact	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2045	425.195793740866	340.161974131888	524.866934299038	GBD	Other
Foreign body	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2045	525.549335600279	426.161127642781	636.340294088195	GBD	Other
Other unintentional injuries	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2045	2338.52032192303	1938.01938858544	2789.90971708881	GBD	Other
Self-harm	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2045	236.974083280806	198.340173276706	277.720693174095	GBD	Other
Interpersonal violence	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2045	1606.99913299782	1410.4018516918	1819.48021729843	GBD	Other
Exposure to forces of nature	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2045	6.67328330137404	4.45373952286645	9.96512942243594	GBD	Other
Pulmonary Arterial Hypertension	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2045	7.06331287905231	5.35233460186992	9.0998243352114	GBD	Cardiovascular
Eye cancer	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2045	12.5236871578811	9.2559496709546	16.1543453216104	GBD	Other Onco Hem
Soft tissue and other extraosseous sarcomas	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2045	26.3388877307856	21.3748412946118	31.6335082465271	GBD	Other Onco Hem
Malignant neoplasm of bone and articular cartilage	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2045	14.7428516220529	12.145622219074	17.6846246341329	GBD	Other Onco Hem
Neuroblastoma and other peripheral nervous cell tumors	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2045	0.304747244006613	0.161606549871173	0.497727067972156	GBD	Other Onco Hem
COVID-19	Both	All Ages	France	Prevalence	Rate (per 100,000)	Reference	2045	0	0	0	GBD	Infectious Diseases
Tuberculosis	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	6811.57658619583	5951.21774001953	7823.33866668672	GBD	Infectious Diseases
HIV/AIDS	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	159.608976295915	107.911579979146	222.474208331297	GBD	Infectious Diseases
Diarrheal diseases	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	587.441675791538	408.089106332087	775.971528307444	GBD	Other
Lower respiratory infections	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	26.5543521714421	23.3112302346453	30.1100151848462	GBD	Infectious Diseases
Upper respiratory infections	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	2261.5291022012	2037.61635846545	2517.24515078131	GBD	Infectious Diseases
Otitis media	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	325.051080605735	217.155662616783	494.568013077255	GBD	Other
Meningitis	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	1.28120594431551	0.84466974332228	1.87350816991801	GBD	Infectious Diseases
Encephalitis	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	11.932694103647	8.15149325913814	16.203309443144	GBD	Other
Diphtheria	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	1.048032873607E-07	0	8.01471990026558E-07	GBD	Infectious Diseases
Whooping cough	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	2.18489828786029	0.994451167395406	4.69602750111851	GBD	Infectious Diseases
Tetanus	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	9.98177193496138E-05	2.19682347104605E-05	0.0002372325352742	GBD	Infectious Diseases
Measles	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	0.0080843266970977	0.006976679643241	0.0092212079936622	GBD	Infectious Diseases
Varicella and herpes zoster	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	81.6660798607577	53.617089767112	112.338711245153	GBD	Infectious Diseases
Chagas disease	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	0.903981149634655	0.774100537895221	1.04804997328402	GBD	Infectious Diseases
Cystic echinococcosis	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	0.182907991884379	0.120555223652654	0.267174844075735	GBD	Infectious Diseases
Rabies	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	1.80119935813186E-06	1.36622624808909E-06	2.42505310655585E-06	GBD	Infectious Diseases
Other neglected tropical diseases	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	161.250198336322	112.977069775315	256.047420340728	GBD	Infectious Diseases
Maternal disorders	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	28.1727841178758	10.4536592603611	60.0315580228287	GBD	Other
Neonatal disorders	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	2005.36697885802	1655.67687934281	2603.10340473101	GBD	Other
Protein-energy malnutrition	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	1601.32397771773	1045.5983569636	1997.64412319191	GBD	Other
Iodine deficiency	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	785.301340562051	622.663433984787	974.739628882729	GBD	Other
Vitamin A deficiency	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	107.350749470261	93.4615849599287	122.282303479534	GBD	Other
Dietary iron deficiency	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	3422.65745094246	2595.11996324394	5084.4590526648	GBD	Other
Sexually transmitted infections excluding HIV	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	14680.5971734192	12377.553680797	17129.6595865256	GBD	Infectious Diseases
Acute hepatitis	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	76.4312265558969	71.1012479904585	82.032491773368	GBD	Metabolism
Other unspecified infectious diseases	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	214.428236406698	151.841446050886	344.760181393969	GBD	Infectious Diseases
Esophageal cancer	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	25.2871416643983	22.442401388825	28.3424369972939	GBD	Oncology
Stomach cancer	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	38.4356862219471	32.9597635783912	44.0885383150376	GBD	Oncology
Liver cancer	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	25.5077175064512	22.2067607434298	28.9555036801038	GBD	Oncology
Larynx cancer	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	25.9300096599008	22.6635831728769	29.5914008329846	GBD	Oncology
Tracheal, bronchus, and lung cancer	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	127.122585125846	110.382142893573	146.23965439413	GBD	Oncology
Breast cancer	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	1010.09099649322	926.704143602745	1080.06257163788	GBD	Oncology
Cervical cancer	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	31.7389573517023	27.0783503664582	36.9547560522345	GBD	Oncology
Uterine cancer	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	120.688025519443	101.693487057482	140.987085646888	GBD	Oncology
Prostate cancer	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	1038.78144102735	873.487335503194	1228.15732943271	GBD	Oncology
Colon and rectum cancer	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	549.481991826049	455.099405082433	649.445434790279	GBD	Oncology
Lip and oral cavity cancer	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	46.253153951589	40.3420240466623	52.8161098530838	GBD	Oncology
Nasopharynx cancer	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	2.61772944690831	1.97985778502624	3.36343897614861	GBD	Oncology
Other pharynx cancer	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	15.5157459333751	13.1960382305574	17.9454553878162	GBD	Oncology
Gallbladder and biliary tract cancer	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	13.237492836615	11.3963588754891	15.2154320839833	GBD	Oncology
Pancreatic cancer	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	39.1707872527716	33.5000247484027	45.510307219835	GBD	Oncology
Malignant skin melanoma	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	220.36319076532	196.674303980474	244.29764300061	GBD	Oncology
Non-melanoma skin cancer	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	32.262616197234	26.336925486888	39.6995381509937	GBD	Other Onco Hem
Ovarian cancer	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	37.6119406179606	32.1313666655237	43.2914110929698	GBD	Oncology
Testicular cancer	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	42.6329177989434	36.0446295400817	49.8693816090122	GBD	Oncology
Kidney cancer	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	113.881529007382	99.5795601826125	132.03177473769	GBD	Oncology
Bladder cancer	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	153.113265615847	137.509838764375	168.126686020399	GBD	Oncology
Brain and central nervous system cancer	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	23.8501901690699	21.838272112879	25.9824322539014	GBD	Oncology
Thyroid cancer	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	47.7425395273298	39.0293567246937	58.1481760166141	GBD	Oncology
Mesothelioma	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	5.8807566609277	5.16372993020338	6.48060955670907	GBD	Oncology
Hodgkin lymphoma	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	17.7865407371972	14.6667915442905	21.2469846275534	GBD	Oncology
Non-Hodgkin lymphoma	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	164.89993240904	138.456624615069	192.988692703387	GBD	Oncology
Multiple myeloma	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	45.8083333860278	38.7274195576765	53.2537538373506	GBD	Oncology
Leukemia	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	106.24900723301	93.467729791602	117.983303875135	GBD	Oncology
Other malignant neoplasms	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	82.9285563511334	69.8948841588399	96.7047383222455	GBD	Other Onco Hem
Other neoplasms	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	1222.23563246344	996.966071238561	1463.99316407506	GBD	Other Onco Hem
Rheumatic heart disease	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	99.0420169966883	80.1527607927928	121.335839826119	GBD	Cardiovascular
Ischemic heart disease	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	4341.45472918067	3830.86355484908	4928.05526163267	GBD	Cardiovascular
Stroke	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	2695.24982504834	2596.87644704571	2799.1509992631	GBD	Cardiovascular
Endocarditis	Both	All Ages	Spain	Prevalence	Rate (per 100,000)	Reference	2045	21.3864573389337	16.940918269742	26.703473856834	GBD	Cardiovascular
Hypertensive heart disease	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	455.751028521377	316.353525176124	646.053453126614	GBD	Cardiovascular
Non-rheumatic valvular heart disease	Both	All Ages	Spain	Prevalence	Rate (per 100,000)	Reference	2045	2256.71801181382	1966.43096808943	2574.31108494358	GBD	Cardiovascular
Cardiomyopathy and myocarditis	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	135.072448874306	106.482576589105	166.425108591292	GBD	Cardiovascular
Other cardiovascular and circulatory diseases	Both	All Ages	Spain	Prevalence	Rate (per 100,000)	Reference	2045	4095.94183739805	3164.26107058741	5416.74759392664	GBD	Cardiovascular
Atrial fibrillation and flutter	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	3297.18584280135	2880.57954130431	3709.60568708863	GBD	Cardiovascular
Chronic obstructive pulmonary disease	Both	All Ages	Spain	Prevalence	Rate (per 100,000)	Reference	2045	7268.68916548606	6214.8935696802	8463.01728997238	GBD	Immunology
Pneumoconiosis	Both	All Ages	Spain	Prevalence	Rate (per 100,000)	Reference	2045	3.19115798300509	2.4824269663104	4.00950094755797	GBD	Other
Peripheral artery disease	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	5301.5583215823	4502.92441874244	6205.10399840024	GBD	Cardiovascular
Endocarditis	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	16.8174610373478	12.9920067403413	20.9657130274671	GBD	Cardiovascular
Asthma	Both	All Ages	Spain	Prevalence	Rate (per 100,000)	Reference	2045	2294.29502166247	1872.47253843496	2803.15557209988	GBD	Immunology
Non-rheumatic valvular heart disease	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	2516.08776699949	2206.9681712658	2867.70742624221	GBD	Cardiovascular
Interstitial lung disease and pulmonary sarcoidosis	Both	All Ages	Spain	Prevalence	Rate (per 100,000)	Reference	2045	194.586168695904	170.681825542906	220.58127834967	GBD	Immunology
Other cardiovascular and circulatory diseases	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	3262.09272950093	2319.03590688973	4353.79457995983	GBD	Cardiovascular
Chronic obstructive pulmonary disease	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	7357.68843052862	6439.91339952128	8360.72071986173	GBD	Immunology
Cirrhosis and other chronic liver diseases	Both	All Ages	Spain	Prevalence	Rate (per 100,000)	Reference	2045	20494.1658131979	18352.3159718091	22673.3044242164	GBD	Immunology
Pneumoconiosis	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	4.68467398374355	3.57152184969196	6.31260452944241	GBD	Other
Appendicitis	Both	All Ages	Spain	Prevalence	Rate (per 100,000)	Reference	2045	4.97954332432852	3.24171865523632	7.26434545792782	GBD	Other
Asthma	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	1890.31126398534	1542.3129273784	2267.55003001635	GBD	Immunology
Paralytic ileus and intestinal obstruction	Both	All Ages	Spain	Prevalence	Rate (per 100,000)	Reference	2045	14.8574539828232	13.3640931213243	16.4077187608171	GBD	Other
Inguinal, femoral, and abdominal hernia	Both	All Ages	Spain	Prevalence	Rate (per 100,000)	Reference	2045	112.264722762984	95.2293496867981	130.792245929263	GBD	Other
Interstitial lung disease and pulmonary sarcoidosis	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	107.487746096527	95.6614412356371	123.109067899809	GBD	Immunology
Cirrhosis and other chronic liver diseases	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	14696.4277845945	13164.5586457129	16221.3519480932	GBD	Immunology
Appendicitis	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	4.59331220876206	3.29115466406526	6.30830649397708	GBD	Other
Paralytic ileus and intestinal obstruction	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	14.4523515857443	13.2192021409294	15.679861829877	GBD	Other
Inflammatory bowel disease	Both	All Ages	Spain	Prevalence	Rate (per 100,000)	Reference	2045	132.79756155798	111.158314668672	160.155157395188	GBD	Immunology
Inguinal, femoral, and abdominal hernia	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	164.456579105934	131.834891208177	203.343457634757	GBD	Other
Vascular intestinal disorders	Both	All Ages	Spain	Prevalence	Rate (per 100,000)	Reference	2045	17.9738454319494	16.4497791845322	19.3599274444097	GBD	Other
Inflammatory bowel disease	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	282.497035888206	237.659401680667	339.22831194248	GBD	Immunology
Gallbladder and biliary diseases	Both	All Ages	Spain	Prevalence	Rate (per 100,000)	Reference	2045	7549.48551677004	6541.19891374809	8665.79802954824	GBD	Other
Vascular intestinal disorders	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	11.9685145484362	10.8331475243972	13.0416742299469	GBD	Other
Gallbladder and biliary diseases	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	5721.86321734353	4639.13894147189	6877.09178975108	GBD	Other
Pancreatitis	Both	All Ages	Spain	Prevalence	Rate (per 100,000)	Reference	2045	50.2920406911184	38.710268317678	63.3657820815981	GBD	Metabolism
Pancreatitis	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	94.2929086177631	63.0300813358926	137.318276123346	GBD	Metabolism
Alzheimer's disease and other dementias	Both	All Ages	Spain	Prevalence	Rate (per 100,000)	Reference	2045	2190.43676185093	1875.81764402702	2533.50329337679	GBD	Neurology
Parkinson's disease	Both	All Ages	Spain	Prevalence	Rate (per 100,000)	Reference	2045	608.785479068556	506.653296872054	737.319774801273	GBD	Neurology
Alzheimer's disease and other dementias	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	3296.80464861679	2827.99217559189	3813.95586601923	GBD	Neurology
Parkinson's disease	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	673.763471333182	621.529861618792	735.825875037104	GBD	Neurology
Idiopathic epilepsy	Both	All Ages	Spain	Prevalence	Rate (per 100,000)	Reference	2045	322.78921578032	100.409267297138	545.238026405834	GBD	Neurology
Idiopathic epilepsy	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	780.924036693376	233.871967656213	1233.63027717324	GBD	Neurology
Multiple sclerosis	Both	All Ages	Spain	Prevalence	Rate (per 100,000)	Reference	2045	99.5287352568257	89.4124833656296	110.414549504257	GBD	Neurology
Multiple sclerosis	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	119.409096498125	104.57343286956	140.879259481255	GBD	Neurology
Motor neuron disease	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	14.9264037617417	12.7725231634882	17.4527394742817	GBD	Neurology
Motor neuron disease	Both	All Ages	Spain	Prevalence	Rate (per 100,000)	Reference	2045	14.5265952452993	12.3626732616136	17.2627922035221	GBD	Neurology
Other neurological disorders	Both	All Ages	Spain	Prevalence	Rate (per 100,000)	Reference	2045	1.11543931774068	0.722545730881441	1.56028609282718	GBD	Neurology
Other neurological disorders	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	1.0498448624071	0.700754451548756	1.44207105032403	GBD	Neurology
Schizophrenia	Both	All Ages	Spain	Prevalence	Rate (per 100,000)	Reference	2045	319.876528561919	301.446582187256	336.044154659378	GBD	Other
Schizophrenia	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	286.986187971823	232.004747222501	352.319729964471	GBD	Other
Alcohol use disorders	Both	All Ages	Spain	Prevalence	Rate (per 100,000)	Reference	2045	1613.70069997843	1328.03449429535	1944.24702537151	GBD	Other
Alcohol use disorders	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	2324.72397840441	2046.09195883938	2670.60384007667	GBD	Other
Drug use disorders	Both	All Ages	Spain	Prevalence	Rate (per 100,000)	Reference	2045	1215.78515206928	1105.64341518885	1357.13817254595	GBD	Other
Drug use disorders	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	917.085834320288	830.475662662533	1038.25390067597	GBD	Other
Depressive disorders	Both	All Ages	Spain	Prevalence	Rate (per 100,000)	Reference	2045	6117.52839953891	5572.65246317963	6658.55409441006	GBD	Other
Depressive disorders	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	4288.55801488129	3773.61144311878	4836.24153534745	GBD	Other
Bipolar disorder	Both	All Ages	Spain	Prevalence	Rate (per 100,000)	Reference	2045	935.781170015654	737.752281320286	1175.08610909902	GBD	Other
Anxiety disorders	Both	All Ages	Spain	Prevalence	Rate (per 100,000)	Reference	2045	5040.75169552715	4203.16005180893	6024.25574348148	GBD	Other
Bipolar disorder	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	838.431519694613	709.871745335347	989.996016816554	GBD	Other
Anxiety disorders	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	6649.60166647042	5483.59868616312	7947.72712152449	GBD	Other
Eating disorders	Both	All Ages	Spain	Prevalence	Rate (per 100,000)	Reference	2045	350.480370711784	218.57234447863	501.308651174329	GBD	Other
Autism spectrum disorders	Both	All Ages	Spain	Prevalence	Rate (per 100,000)	Reference	2045	933.475690349567	782.498341378789	1094.81702153162	GBD	Other
Eating disorders	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	276.415298016504	159.097633553859	423.542194538186	GBD	Other
Autism spectrum disorders	Both	All Ages	Germany	Prevalence	Rate (per 100,000)	Reference	2045	813.41895008492	671.48429807753	971.688578865702	GBD	Other
